0.33,80.0,120.0,0.0,33.0,0.0,10.8
0.2,80.0,120.0,0.0,68.8,1.0,-541.84
0.29,80.0,120.0,0.0,54.0,3.0,-24.7
0.19,80.0,40.0,0.0,106.0,0.0,0.1
0.25,80.0,120.0,0.0,66.0,0.0,0.87
0.34,80.0,40.0,0.0,94.4,1.0,2.56
0.11,80.0,120.0,0.0,114.4,0.0,1.78
0.06,80.0,120.0,0.0,103.0,3.0,-70.63
0.23,120.0,60.0,0.0,100.6,1.0,-44.5
0.39,80.0,120.0,0.0,73.8,0.0,0.1
0.15,120.0,60.0,0.0,118.0,1.0,0.1
0.24,80.0,40.0,0.0,170.0,2.0,-2.53
0.21,80.0,120.0,0.0,64.0,1.0,-108.85
0.35,80.0,40.0,0.0,57.2,3.0,0.13
0.4,80.0,40.0,0.0,20.0,0.0,17.78
0.18,120.0,60.0,0.0,16.0,0.0,-193.82
0.13,80.0,120.0,0.0,93.0,1.0,-524.18
0.02,80.0,40.0,0.0,128.0,0.0,0.8
0.32,80.0,120.0,0.0,174.0,0.0,0.3
0.05,120.0,60.0,0.0,148.0,2.0,-853.04
0.23,120.0,60.0,0.0,39.0,3.0,4.15
0.07,80.0,120.0,0.0,72.0,3.0,-1000.0
0.16,80.0,40.0,0.0,119.0,3.0,19.0
0.13,120.0,60.0,0.0,15.8,2.0,-1000.0
0.11,80.0,120.0,0.0,76.2,1.0,-1000.0
0.07,120.0,60.0,0.0,119.0,0.0,-1000.0
0.42,80.0,40.0,0.0,39.0,1.0,0.25
0.24,80.0,120.0,0.0,39.0,2.0,-77.86
0.26,80.0,120.0,0.0,51.4,0.0,-5.62
0.02,80.0,120.0,0.0,97.0,2.0,-286.18
0.35,120.0,60.0,0.0,133.0,0.0,0.97
0.33,80.0,120.0,0.0,114.0,1.0,-8.88
0.19,120.0,60.0,0.0,76.4,2.0,-185.43
0.11,80.0,120.0,0.0,77.0,0.0,-1000.0
0.41,80.0,40.0,0.0,0.0,1.0,1.49
0.31,80.0,40.0,0.0,104.6,1.0,0.14
0.18,80.0,120.0,0.0,143.0,1.0,-135.36
0.22,80.0,120.0,0.0,59.0,0.0,-25.78
0.37,80.0,120.0,0.0,209.0,0.0,0.1
0.1,80.0,120.0,0.0,98.8,2.0,-473.29
0.11,80.0,120.0,0.0,81.8,1.0,-428.27
0.49,120.0,60.0,0.0,63.0,0.0,0.32
0.1,80.0,120.0,0.0,86.6,1.0,-314.31
0.18,80.0,120.0,0.0,9.0,0.0,-291.35
0.08,80.0,120.0,0.0,65.0,2.0,-1000.0
0.16,120.0,60.0,0.0,130.0,0.0,0.88
0.46,80.0,40.0,0.0,0.0,0.0,19.0
0.07,80.0,40.0,0.0,145.0,0.0,0.23
0.23,80.0,120.0,0.0,83.0,2.0,-2.26
0.33,120.0,60.0,0.0,112.8,1.0,0.1
0.15,80.0,120.0,0.0,165.0,0.0,-476.61
0.45,80.0,40.0,0.0,85.0,0.0,2.19
0.2,80.0,40.0,0.0,54.0,0.0,5.44
0.03,80.0,40.0,0.0,189.0,1.0,1.31
0.21,80.0,120.0,0.0,68.2,1.0,-24.07
0.3,120.0,60.0,0.0,90.0,0.0,0.1
0.1,80.0,40.0,0.0,89.0,2.0,-185.51
0.49,80.0,120.0,0.0,49.2,1.0,7.27
0.35,80.0,40.0,0.0,66.6,0.0,0.25
0.17,120.0,60.0,0.0,105.0,3.0,0.86
0.13,80.0,120.0,0.0,103.4,0.0,0.1
0.09,120.0,60.0,0.0,163.0,0.0,-0.3
0.25,80.0,120.0,0.0,162.0,2.0,2.42
0.37,80.0,120.0,0.0,45.2,0.0,0.51
0.19,80.0,120.0,0.0,42.6,0.0,-727.32
0.39,80.0,120.0,0.0,92.0,1.0,1.95
0.02,80.0,120.0,0.0,77.0,3.0,-1000.0
0.16,80.0,120.0,0.0,120.0,1.0,-300.62
0.07,80.0,40.0,0.0,90.0,3.0,-910.36
0.46,120.0,60.0,0.0,63.6,0.0,0.2
0.28,80.0,40.0,0.0,26.0,0.0,2.64
0.38,80.0,120.0,0.0,114.4,0.0,3.68
0.29,80.0,120.0,0.0,83.0,1.0,2.33
